ballX,ballY,ballVX,ballVY,playerY,dir
1153.3740520477295,455.33740520477295,600.0,60.0,89.0,39.0
1182.0,459.0281820297241,-600.0,-353.99999999999994,171.0,82.0
1153.217393875122,442.04644441604614,-600.0,-353.99999999999994,219.0,48.0
1135.16162109375,431.3935384750366,-600.0,-353.99999999999994,238.0,19.0
1118.1990451812744,421.385618686676,-600.0,-353.99999999999994,246.0,8.0
1101.6221351623535,411.6052417755127,-600.0,-353.99999999999994,259.0,13.0
1082.3075122833252,400.209614276886,-600.0,-353.99999999999994,308.0,49.0
1041.213638305664,375.9642286300659,-600.0,-353.99999999999994,441.0,133.0
1009.6069164276123,357.3162627220154,-600.0,-353.99999999999994,482.0,41.0
989.3657512664795,345.373975276947,-600.0,-353.99999999999994,485.0,3.0
971.1238689422607,334.61126470565796,-600.0,-353.99999999999994,485.0,0.0
951.7943687438965,323.20685958862305,-600.0,-353.99999999999994,485.0,0.0
931.3228912353516,311.12868785858154,-600.0,-353.99999999999994,485.0,0.0
912.5615901947021,300.0595202445984,-600.0,-353.99999999999994,485.0,0.0
892.1543426513672,288.01924419403076,-600.0,-353.99999999999994,485.0,0.0
872.1888370513916,276.23959589004517,-600.0,-353.99999999999994,485.0,0.0
852.734453201294,264.76150941848755,-600.0,-353.99999999999994,485.0,0.0
832.3260612487793,252.7205581665039,-600.0,-353.99999999999994,485.0,0.0
811.0878295898438,240.19000148773193,-600.0,-353.99999999999994,485.0,0.0
791.8038196563721,228.81243562698364,-600.0,-353.99999999999994,485.0,0.0
772.3613090515137,217.3413543701172,-600.0,-353.99999999999994,485.0,0.0
752.2061176300049,205.449791431427,-600.0,-353.99999999999994,485.0,0.0
732.7973670959473,193.998628616333,-600.0,-353.99999999999994,485.0,0.0
712.2618026733398,181.88264560699463,-600.0,-353.99999999999994,483.0,-2.0
692.5517864227295,170.25373601913452,-600.0,-353.99999999999994,477.0,-6.0
670.8288974761963,157.43723154067993,-600.0,-353.99999999999994,468.0,-9.0
651.9455738067627,146.2960705757141,-600.0,-353.99999999999994,462.0,-6.0
628.9174861907959,132.7094988822937,-600.0,-353.99999999999994,456.0,-6.0
611.2236328125,122.27012538909912,-600.0,-353.99999999999994,447.0,-9.0
592.5023860931396,111.22458982467651,-600.0,-353.99999999999994,440.0,-7.0
572.6058311462402,99.48562240600586,-600.0,-353.99999999999994,435.0,-5.0
552.433759689331,87.58410024642944,-600.0,-353.99999999999994,427.0,-8.0
532.5618095397949,75.85964965820312,-600.0,-353.99999999999994,419.0,-8.0
511.2318820953369,63.2749924659729,-600.0,-353.99999999999994,409.0,-10.0
490.96267890930176,51.31616258621216,-600.0,-353.99999999999994,403.0,-6.0
462.391788482666,34.45933723449707,-600.0,-353.99999999999994,394.0,-9.0
442.7922077178955,22.89558458328247,-600.0,-353.99999999999994,392.0,-2.0
422.527868270874,10.939624309539797,-600.0,-353.99999999999994,392.0,0.0
402.7408905029297,8.0,-600.0,353.99999999999994,392.0,0.0
381.59821701049805,20.474177360534668,-600.0,353.99999999999994,392.0,0.0
351.83513832092285,38.03439378738403,-600.0,353.99999999999994,392.0,0.0
330.7997531890869,50.445271015167236,-600.0,353.99999999999994,390.0,-2.0
302.8062171936035,66.96145725250244,-600.0,353.99999999999994,364.0,-26.0
289.3007583618164,74.92967796325684,-600.0,353.99999999999994,343.0,-21.0
262.39984703063965,90.80121564865112,-600.0,353.99999999999994,288.0,-55.0
211.29954528808594,120.95039367675781,-600.0,353.99999999999994,229.0,-59.0
182.44069290161133,137.97711658477783,-600.0,353.99999999999994,223.0,-6.0
162.2903652191162,149.86580991744995,-600.0,353.99999999999994,221.0,-2.0
142.15090942382812,161.74808883666992,-600.0,353.99999999999994,221.0,0.0
122.69509506225586,173.22701930999756,-600.0,353.99999999999994,220.0,-1.0
101.16489601135254,185.92983675003052,-600.0,353.99999999999994,217.0,-3.0
81.36776161193848,197.61014604568481,-600.0,353.99999999999994,212.0,-5.0
58.331377029418945,211.20161294937134,-600.0,353.99999999999994,209.0,-3.0
39.65576362609863,222.22022485733032,-600.0,353.99999999999994,207.0,-2.0
22.865421295166016,232.12652683258057,-600.0,353.99999999999994,206.0,-1.0
18.0,245.80576992034912,600.0,179.99999999999994,205.0,-1.0
45.96964645385742,254.19666385650635,600.0,179.99999999999994,203.0,-2.0
77.28068161010742,263.58997440338135,600.0,179.99999999999994,204.0,1.0
102.62104797363281,271.19208431243896,600.0,179.99999999999994,215.0,11.0
114.8851089477539,274.8713026046753,600.0,179.99999999999994,220.0,5.0
135.19636917114258,280.9646806716919,600.0,179.99999999999994,225.0,5.0
155.08133697509766,286.9301710128784,600.0,179.99999999999994,231.0,6.0
175.1305274963379,292.9449281692505,600.0,179.99999999999994,242.0,11.0
195.09975242614746,298.93569564819336,600.0,179.99999999999994,252.0,10.0
216.20351600646973,305.26682472229004,600.0,179.99999999999994,264.0,12.0
245.59509086608887,314.0842971801758,600.0,179.99999999999994,279.0,15.0
276.91199111938477,323.47936725616455,600.0,179.99999999999994,294.0,15.0
287.1804885864258,326.55991649627686,600.0,179.99999999999994,297.0,3.0
298.10172843933105,329.83628845214844,600.0,179.99999999999994,300.0,3.0
327.11335945129395,338.5397777557373,600.0,179.99999999999994,304.0,4.0
355.83488273620605,347.15623474121094,600.0,179.99999999999994,309.0,5.0
383.6161308288574,355.49060916900635,600.0,179.99999999999994,313.0,4.0
399.71167373657227,360.3192720413208,600.0,179.99999999999994,317.0,4.0
414.9205856323242,364.8819456100464,600.0,179.99999999999994,320.0,3.0
